order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,currency,customer_unique_id,customer_city,customer_department,customer_postal_code_prefix,item_count,gross_merchandise_value,freight_value,unique_products,main_category,monetary,payment_count,max_installments,main_payment_type
col_order_0000020,col_customer_0000020,shipped,2025-05-25 14:32:14,2025-05-27 02:17:14,2025-05-27 13:17:14,,2025-06-06 14:32:14,COP,col_unique_000017,bogota,bogota d.c.,110,4.0,876700.0,76500.0,4.0,celulares,953200.0,1.0,1.0,tarjeta_debito
col_order_0000021,col_customer_0000021,delivered,2025-06-11 19:25:23,2025-06-12 15:24:23,2025-06-16 14:24:23,2025-06-19 12:24:23,2025-06-14 19:25:23,COP,col_unique_000018,neiva,huila,410,1.0,163300.0,25700.0,1.0,salud,189000.0,1.0,3.0,credito_bnpl
col_order_0000022,col_customer_0000022,delivered,2025-04-21 08:10:03,2025-04-21 12:35:03,2025-04-25 05:35:03,2025-05-02 07:35:03,2025-04-28 08:10:03,COP,col_unique_000019,bucaramanga,santander,680,1.0,212300.0,15700.0,1.0,hogar,228000.0,1.0,1.0,tarjeta_credito
col_order_0000023,col_customer_0000023,delivered,2025-05-31 01:43:45,2025-06-01 17:35:45,2025-06-03 03:35:45,2025-06-05 15:35:45,2025-06-04 01:43:45,COP,col_unique_000020,cartagena,bolivar,130,1.0,84800.0,21700.0,1.0,mercado,106500.0,1.0,1.0,tarjeta_credito
col_order_0000024,col_customer_0000024,canceled,2025-08-07 19:43:45,2025-08-08 03:15:45,,,,COP,col_unique_000020,cartagena,bolivar,130,1.0,169700.0,24800.0,1.0,mascotas,194500.0,1.0,1.0,tarjeta_debito
col_order_0000025,col_customer_0000025,delivered,2024-08-21 12:23:57,2024-08-22 10:16:57,2024-08-25 05:16:57,2024-09-02 22:16:57,2024-08-26 12:23:57,COP,col_unique_000021,tunja,unknown,150,1.0,80200.0,19000.0,1.0,mercado,99200.0,1.0,1.0,tarjeta_debito
col_order_0000026,col_customer_0000026,returned,2024-03-28 17:14:11,2024-03-30 09:30:11,2024-03-31 19:30:11,2024-04-04 04:30:11,2024-03-31 17:14:11,COP,col_unique_000022,bogota,bogota d.c.,110,1.0,113600.0,13200.0,1.0,moda,126800.0,1.0,1.0,tarjeta_credito
col_order_0000027,col_customer_0000027,returned,2024-03-07 10:53:58,2024-03-08 21:05:58,2024-03-09 05:05:58,2024-03-14 06:05:58,2024-03-14 10:53:58,COP,col_unique_000023,bogota,bogota d.c.,110,1.0,373500.0,22700.0,1.0,tecnologia,396200.0,1.0,12.0,tarjeta_credito
col_order_0000028,col_customer_0000028,delivered,2024-06-19 11:53:58,2024-06-20 13:28:58,2024-06-23 14:28:58,2024-06-30 06:28:58,2024-06-26 11:53:58,COP,col_unique_000023,bogota,bogota d.c.,110,1.0,165700.0,23300.0,1.0,hogar,189000.0,1.0,1.0,tarjeta_debito
col_order_0000029,col_customer_0000029,canceled,2024-07-29 19:53:58,2024-07-30 23:11:58,,,2024-08-06 19:53:58,COP,col_unique_000023,bogota,bogota d.c.,110,1.0,365500.0,21900.0,1.0,unknown,387400.0,1.0,3.0,credito_bnpl
col_order_0000030,col_customer_0000030,delivered,2025-01-06 02:53:58,2025-01-06 03:40:58,2025-01-06 14:40:58,2025-01-14 08:40:58,2025-01-17 02:53:58,COP,col_unique_000023,bogota,bogota d.c.,110,1.0,456600.0,25100.0,1.0,tecnologia,481700.0,1.0,6.0,tarjeta_credito
col_order_0000031,col_customer_0000031,shipped,2024-07-31 11:02:59,2024-07-31 14:18:59,2024-08-02 00:18:59,,2024-08-03 11:02:59,COP,col_unique_000024,pereira,risaralda,660,2.0,216900.0,25500.0,2.0,belleza,242400.0,1.0,1.0,tarjeta_debito
col_order_0000032,col_customer_0000032,delivered,2025-04-29 22:07:18,2025-05-01 07:17:18,2025-05-02 13:17:18,2025-05-07 13:17:18,2025-05-09 22:07:18,COP,col_unique_000025,chia,cundinamarca,250,2.0,218000.0,32800.0,2.0,mercado,250800.0,1.0,1.0,tarjeta_credito
col_order_0000033,col_customer_0000033,delivered,2025-04-19 00:51:37,2025-04-19 20:17:37,2025-04-21 13:17:37,2025-04-30 07:17:37,2025-04-22 00:51:37,COP,col_unique_000026,bucaramanga,santander,680,1.0,49900.0,21700.0,1.0,libros,71600.0,1.0,1.0,contra_entrega
col_order_0000034,col_customer_0000034,delivered,2025-05-02 23:02:18,2025-05-04 14:58:18,2025-05-05 01:58:18,2025-05-06 22:58:18,2025-05-11 23:02:18,COP,col_unique_000027,bucaramanga,santander,680,2.0,217300.0,33700.0,2.0,libros,251000.0,1.0,1.0,transferencia
col_order_0000035,col_customer_0000035,delivered,2024-09-24 12:53:50,2024-09-25 15:24:50,2024-09-27 20:24:50,2024-09-30 19:24:50,2024-10-02 12:53:50,COP,col_unique_000028,cali,valle del cauca,760,2.0,716200.0,37700.0,2.0,tecnologia,753900.0,1.0,1.0,transferencia
col_order_0000036,col_customer_0000036,delivered,2025-02-08 03:33:57,2025-02-09 02:59:57,2025-02-12 10:59:57,2025-02-25 06:59:57,2025-02-14 03:33:57,COP,col_unique_000029,medellin,antioquia,050,4.0,555800.0,59900.0,4.0,hogar,615700.0,1.0,1.0,contra_entrega
col_order_0000037,col_customer_0000037,delivered,2024-08-29 08:06:24,2024-08-30 11:13:24,2024-09-03 07:13:24,2024-09-07 05:13:24,2024-09-01 08:06:24,COP,col_unique_000030,medellin,antioquia,050,1.0,161400.0,19200.0,1.0,salud,180600.0,1.0,1.0,transferencia
col_order_0000038,col_customer_0000038,delivered,2024-04-12 22:13:38,2024-04-14 06:59:38,2024-04-17 00:59:38,2024-04-29 18:59:38,2024-04-20 22:13:38,COP,col_unique_000031,bogota,bogota d.c.,110,1.0,630200.0,51800.0,1.0,celulares,682000.0,1.0,1.0,transferencia
col_order_0000039,col_customer_0000039,delivered,2024-06-10 02:13:38,2024-06-10 04:31:38,2024-06-13 00:31:38,2024-06-15 22:31:38,2024-06-16 02:13:38,COP,col_unique_000031,bogota,bogota d.c.,110,2.0,961300.0,51600.0,2.0,deportes,1012900.0,2.0,1.0,bono_regalo
col_order_0000040,col_customer_0000040,canceled,2024-11-10 20:13:38,2024-11-12 02:02:38,,,,COP,col_unique_000031,bogota,bogota d.c.,110,1.0,96500.0,12100.0,1.0,belleza,108600.0,1.0,1.0,tarjeta_credito
col_order_0000041,col_customer_0000041,delivered,2025-06-06 18:13:38,2025-06-06 22:02:38,2025-06-10 10:02:38,2025-06-21 16:02:38,2025-06-16 18:13:38,COP,col_unique_000031,bogota,bogota d.c.,110,1.0,343500.0,27000.0,1.0,tecnologia,370500.0,1.0,1.0,contra_entrega
col_order_0000042,col_customer_0000042,returned,2025-08-30 07:13:38,2025-08-31 08:29:38,2025-09-02 23:29:38,2025-09-13 04:29:38,2025-09-07 07:13:38,COP,col_unique_000031,bogota,bogota d.c.,110,1.0,152300.0,11200.0,1.0,hogar,163500.0,1.0,1.0,contra_entrega
col_order_0000043,col_customer_0000043,delivered,2024-12-07 22:44:37,2024-12-08 04:31:37,2024-12-11 19:31:37,2024-12-21 13:31:37,2024-12-18 22:44:37,COP,col_unique_000032,bogota,bogota d.c.,110,1.0,846300.0,37000.0,1.0,celulares,883300.0,1.0,12.0,tarjeta_credito
col_order_0000044,col_customer_0000044,delivered,2025-07-02 22:44:37,2025-07-02 23:44:37,2025-07-05 06:44:37,2025-07-15 20:44:37,2025-07-15 22:44:37,COP,col_unique_000032,bogota,bogota d.c.,110,2.0,858900.0,70600.0,2.0,accesorios_moto,938100.0,1.0,1.0,bono_regalo
col_order_0000045,col_customer_0000045,returned,2025-08-25 19:44:37,2025-08-27 06:45:37,2025-08-29 14:45:37,2025-09-02 03:45:37,2025-09-06 19:44:37,COP,col_unique_000032,bogota,bogota d.c.,110,1.0,218300.0,21600.0,1.0,hogar,239900.0,1.0,3.0,tarjeta_credito
col_order_0000046,col_customer_0000046,delivered,2024-12-14 09:29:45,2024-12-15 08:32:45,2024-12-17 00:32:45,2024-12-26 14:32:45,2024-12-20 09:29:45,COP,col_unique_000033,barranquilla,atlantico,080,1.0,79500.0,14500.0,1.0,libros,94000.0,1.0,6.0,credito_bnpl
col_order_0000047,col_customer_0000047,delivered,2025-02-04 11:11:57,2025-02-04 23:34:57,2025-02-08 02:34:57,2025-02-19 22:34:57,2025-02-14 11:11:57,COP,col_unique_000034,monteria,cordoba,230,1.0,221800.0,35700.0,1.0,accesorios_moto,257500.0,1.0,3.0,credito_bnpl
col_order_0000048,col_customer_0000048,returned,2024-09-14 09:49:03,2024-09-15 03:08:03,2024-09-17 01:08:03,2024-09-26 02:08:03,2024-09-26 09:49:03,COP,col_unique_000035,bucaramanga,santander,680,1.0,121900.0,15000.0,1.0,moda,136900.0,1.0,1.0,credito_bnpl
col_order_0000049,col_customer_0000049,delivered,2024-04-18 15:34:43,2024-04-19 02:05:43,2024-04-21 21:05:43,2024-04-23 06:05:43,2024-05-01 15:34:43,COP,col_unique_000036,cali,valle del cauca,760,1.0,112600.0,14300.0,1.0,hogar,126900.0,1.0,1.0,tarjeta_credito
col_order_0000050,col_customer_0000050,delivered,2024-04-09 08:32:00,2024-04-10 09:06:00,2024-04-13 05:06:00,2024-04-17 23:06:00,2024-04-15 08:32:00,COP,col_unique_000037,bogota,bogota d.c.,110,3.0,956800.0,63000.0,3.0,celulares,1019800.0,1.0,1.0,tarjeta_credito
col_order_0000051,col_customer_0000051,delivered,2024-04-21 07:01:54,2024-04-21 22:04:54,2024-04-23 17:04:54,2024-05-05 22:04:54,2024-04-28 07:01:54,COP,col_unique_000038,cartagena,bolivar,130,1.0,125000.0,14600.0,1.0,moda,139600.0,1.0,1.0,tarjeta_debito
col_order_0000052,col_customer_0000052,delivered,2024-09-08 07:39:52,2024-09-09 15:03:52,2024-09-11 16:03:52,2024-09-16 08:03:52,2024-09-11 07:39:52,COP,col_unique_000039,neiva,huila,410,4.0,419500.0,74300.0,4.0,belleza,493800.0,1.0,1.0,bono_regalo
col_order_0000053,col_customer_0000053,delivered,2025-06-08 20:20:12,2025-06-10 00:12:12,2025-06-13 15:12:12,2025-06-15 04:12:12,2025-06-12 20:20:12,COP,col_unique_000040,medellin,antioquia,050,2.0,411700.0,40700.0,2.0,juguetes,452400.0,1.0,3.0,tarjeta_credito
col_order_0000054,col_customer_0000054,delivered,2025-10-19 19:20:12,2025-10-21 18:43:12,2025-10-23 11:43:12,2025-11-02 14:43:12,2025-11-01 19:20:12,COP,col_unique_000040,medellin,antioquia,050,1.0,78500.0,10600.0,1.0,mercado,89100.0,1.0,1.0,tarjeta_credito
col_order_0000055,col_customer_0000055,returned,2025-06-01 04:54:55,2025-06-01 16:20:55,2025-06-04 18:20:55,2025-06-16 06:20:55,2025-06-06 04:54:55,COP,col_unique_000041,cali,valle del cauca,760,2.0,653700.0,48900.0,2.0,moda,693100.0,1.0,1.0,contra_entrega
col_order_0000056,col_customer_0000056,delivered,2024-11-03 08:23:13,2024-11-05 00:50:13,2024-11-08 18:50:13,2024-11-10 11:50:13,2024-11-13 08:23:13,COP,col_unique_000042,ibague,tolima,730,1.0,418000.0,29200.0,1.0,tecnologia,447200.0,1.0,3.0,tarjeta_credito
col_order_0000057,col_customer_0000057,canceled,2024-11-02 22:11:30,2024-11-03 20:30:30,,,,COP,col_unique_000043,medellin,antioquia,050,,,,,,,,,
col_order_0000058,col_customer_0000058,delivered,2025-06-19 02:15:37,2025-06-21 00:05:37,2025-06-21 23:05:37,2025-07-02 18:05:37,2025-07-03 02:15:37,COP,col_unique_000044,bogota,bogota d.c.,110,2.0,357800.0,44500.0,2.0,belleza,402300.0,2.0,1.0,contra_entrega
col_order_0000059,col_customer_0000059,delivered,2025-08-14 19:15:37,2025-08-16 05:52:37,2025-08-17 06:52:37,2025-08-25 04:52:37,2025-08-17 19:15:37,COP,col_unique_000044,bogota,bogota d.c.,110,3.0,1396300.0,92700.0,3.0,mercado,1489000.0,1.0,1.0,contra_entrega
col_order_0000060,col_customer_0000060,delivered,2025-10-08 14:15:37,2025-10-10 00:58:37,2025-10-11 02:58:37,2025-10-13 12:58:37,2025-10-11 14:15:37,COP,col_unique_000044,bogota,bogota d.c.,110,2.0,653200.0,56700.0,2.0,celulares,709900.0,1.0,3.0,tarjeta_credito
col_order_0000061,col_customer_0000061,canceled,2024-10-18 16:34:59,2024-10-19 22:49:59,,,2024-10-23 16:34:59,COP,col_unique_000045,cartagena,bolivar,130,3.0,740600.0,67700.0,3.0,tecnologia,808300.0,1.0,1.0,bono_regalo
col_order_0000062,col_customer_0000062,canceled,2024-02-12 00:40:51,2024-02-12 10:53:51,,,2024-02-23 00:40:51,COP,col_unique_000046,bogota,bogota d.c.,110,4.0,1217200.0,83200.0,4.0,belleza,1300400.0,1.0,1.0,transferencia
col_order_0000063,col_customer_0000063,canceled,2025-04-19 20:45:18,2025-04-21 18:18:18,,,2025-04-25 20:45:18,COP,col_unique_000047,medellin,antioquia,050,1.0,136200.0,18500.0,1.0,juguetes,154700.0,1.0,1.0,contra_entrega
col_order_0000064,col_customer_0000064,processing,2025-07-03 01:45:18,2025-07-03 20:40:18,,,2025-07-17 01:45:18,COP,col_unique_000047,medellin,antioquia,050,1.0,190000.0,27100.0,1.0,deportes,217100.0,1.0,1.0,bono_regalo
col_order_0000065,col_customer_0000065,delivered,2024-03-09 10:32:13,2024-03-10 20:29:13,2024-03-11 22:29:13,2024-03-19 13:29:13,2024-03-20 10:32:13,COP,col_unique_000048,bogota,bogota d.c.,110,2.0,354300.0,36200.0,2.0,hogar,400900.0,1.0,1.0,tarjeta_credito
col_order_0000066,col_customer_0000066,delivered,2024-04-15 09:11:59,2024-04-15 15:24:59,2024-04-18 03:24:59,2024-04-29 14:24:59,2024-04-26 09:11:59,COP,col_unique_000049,bucaramanga,santander,680,1.0,981600.0,39900.0,1.0,celulares,1021500.0,1.0,1.0,tarjeta_credito
col_order_0000067,col_customer_0000067,delivered,2025-02-08 19:17:46,2025-02-10 13:07:46,2025-02-14 06:07:46,2025-02-17 18:07:46,2025-02-12 19:17:46,COP,col_unique_000050,cucuta,norte de santander,540,1.0,163100.0,26500.0,1.0,hogar,189600.0,1.0,1.0,tarjeta_credito
col_order_0000068,col_customer_0000068,delivered,2025-05-05 23:18:19,2025-05-06 10:06:19,2025-05-07 09:06:19,2025-05-19 17:06:19,2025-05-17 23:18:19,COP,col_unique_000051,pereira,risaralda,660,1.0,86200.0,10300.0,1.0,salud,96500.0,1.0,1.0,transferencia
col_order_0000069,col_customer_0000069,delivered,2024-11-12 07:16:30,2024-11-12 11:55:30,2024-11-16 08:55:30,2024-11-25 18:55:30,2024-11-26 07:16:30,COP,col_unique_000052,barranquilla,atlantico,080,1.0,90700.0,15700.0,1.0,mercado,106400.0,1.0,3.0,credito_bnpl
col_order_0000070,col_customer_0000070,delivered,2025-05-16 16:19:34,2025-05-17 19:20:34,2025-05-18 06:20:34,2025-05-24 05:20:34,2025-05-21 16:19:34,COP,col_unique_000053,neiva,huila,410,1.0,129800.0,22800.0,1.0,deportes,152600.0,2.0,3.0,tarjeta_credito
col_order_0000071,col_customer_0000071,returned,2025-04-16 22:33:03,2025-04-18 07:19:03,2025-04-20 14:19:03,2025-05-02 17:19:03,2025-04-22 22:33:03,COP,col_unique_000054,cali,valle del cauca,760,1.0,667900.0,42100.0,1.0,electrodomesticos,710000.0,2.0,3.0,credito_bnpl
col_order_0000072,col_customer_0000072,delivered,2024-09-03 08:02:20,2024-09-04 14:05:20,2024-09-06 21:05:20,2024-09-11 14:05:20,2024-09-17 08:02:20,COP,col_unique_000055,medellin,antioquia,050,1.0,119900.0,10800.0,1.0,juguetes,130700.0,1.0,3.0,tarjeta_credito
col_order_0000073,col_customer_0000073,canceled,2024-01-17 11:14:16,2024-01-18 13:16:16,,,2024-01-27 11:14:16,COP,col_unique_000056,medellin,antioquia,050,,,,,,,,,
col_order_0000074,col_customer_0000074,delivered,2024-05-14 07:14:16,2024-05-15 04:16:16,2024-05-16 22:16:16,2024-05-29 03:16:16,2024-05-27 07:14:16,COP,col_unique_000056,unknown,antioquia,050,3.0,356500.0,46000.0,3.0,belleza,402500.0,1.0,1.0,transferencia
col_order_0000075,col_customer_0000075,payment_pending,2024-09-19 17:14:16,,,,2024-09-27 17:14:16,COP,col_unique_000056,medellin,antioquia,050,,,,,,,,,
col_order_0000076,col_customer_0000076,returned,2024-12-02 16:14:16,2024-12-02 18:23:16,2024-12-03 03:23:16,2024-12-13 23:23:16,2024-12-06 16:14:16,COP,col_unique_000056,medellin,antioquia,050,1.0,161500.0,14400.0,1.0,salud,175900.0,1.0,1.0,bono_regalo
col_order_0000077,col_customer_0000077,processing,2025-02-12 16:14:16,2025-02-13 18:42:16,,,2025-02-22 16:14:16,COP,col_unique_000056,medellin,antioquia,050,1.0,109400.0,23400.0,1.0,belleza,132800.0,1.0,3.0,tarjeta_credito
col_order_0000078,col_customer_0000078,delivered,2024-03-26 03:51:26,2024-03-27 11:05:26,2024-03-30 15:05:26,2024-04-10 00:05:26,2024-04-04 03:51:26,COP,col_unique_000057,bucaramanga,santander,680,1.0,146000.0,12400.0,1.0,hogar,150900.0,1.0,3.0,tarjeta_credito
col_order_0000079,col_customer_0000079,delivered,2025-04-07 08:48:54,2025-04-07 20:52:54,2025-04-09 16:52:54,2025-04-13 06:52:54,2025-04-17 08:48:54,COP,col_unique_000058,bogota,bogota d.c.,110,2.0,238200.0,33000.0,2.0,deportes,271200.0,1.0,6.0,tarjeta_credito
col_order_0000080,col_customer_0000080,delivered,2024-01-06 13:26:25,2024-01-06 19:50:25,2024-01-08 00:50:25,2024-01-18 09:50:25,2024-01-20 13:26:25,COP,col_unique_000059,medellin,antioquia,050,1.0,86900.0,16400.0,1.0,mercado,103300.0,1.0,1.0,bono_regalo
col_order_0000081,col_customer_0000081,delivered,2025-04-29 05:21:08,2025-04-30 15:02:08,2025-05-01 13:02:08,2025-05-05 09:02:08,2025-05-12 05:21:08,COP,col_unique_000060,manizales,caldas,170,1.0,205100.0,18400.0,1.0,deportes,223500.0,1.0,1.0,contra_entrega
col_order_0000082,col_customer_0000082,payment_pending,2025-06-07 02:38:48,,,,2025-06-10 02:38:48,COP,col_unique_000061,bogota,bogota d.c.,110,,,,,,,,,
col_order_0000083,col_customer_0000083,delivered,2025-09-08 01:38:48,2025-09-08 23:46:48,2025-09-12 23:46:48,2025-09-24 22:46:48,2025-09-12 01:38:48,COP,col_unique_000061,bogota,bogota d.c.,110,4.0,1527600.0,128500.0,4.0,deportes,1656100.0,1.0,1.0,transferencia
col_order_0000084,col_customer_0000084,delivered,2025-03-15 17:43:38,2025-03-15 20:26:38,2025-03-17 17:26:38,2025-03-19 21:26:38,2025-03-24 17:43:38,COP,col_unique_000062,manizales,caldas,170,1.0,79300.0,19900.0,1.0,mercado,99200.0,1.0,1.0,tarjeta_credito
col_order_0000085,col_customer_0000085,delivered,2025-05-17 15:43:38,2025-05-18 06:00:38,2025-05-22 03:00:38,2025-06-02 01:00:38,2025-05-30 15:43:38,COP,col_unique_000062,manizales,caldas,170,1.0,327800.0,28900.0,1.0,tecnologia,356700.0,1.0,6.0,credito_bnpl
col_order_0000086,col_customer_0000086,delivered,2025-07-31 20:43:38,2025-08-01 16:53:38,2025-08-04 07:53:38,2025-08-13 18:53:38,2025-08-09 20:43:38,COP,col_unique_000062,manizales,caldas,170,1.0,137300.0,26800.0,1.0,hogar,164100.0,2.0,1.0,tarjeta_credito
col_order_0000087,col_customer_0000087,delivered,2024-01-19 14:19:11,2024-01-20 00:11:11,2024-01-21 04:11:11,2024-01-22 11:11:11,2024-01-23 14:19:11,COP,col_unique_000063,bogota,bogota d.c.,110,1.0,192000.0,11800.0,1.0,hogar,203800.0,1.0,1.0,transferencia
col_order_0000088,col_customer_0000088,delivered,2024-09-15 19:05:30,2024-09-16 22:43:30,2024-09-20 21:43:30,2024-09-30 10:43:30,2024-09-18 19:05:30,COP,col_unique_000064,medellin,antioquia,050,1.0,679700.0,41000.0,1.0,electrodomesticos,720700.0,2.0,3.0,tarjeta_credito
col_order_0000089,col_customer_0000089,delivered,2024-03-31 05:38:26,2024-04-01 14:46:26,2024-04-05 13:46:26,2024-04-08 12:46:26,2024-04-06 05:38:26,COP,col_unique_000065,barranquilla,atlantico,080,2.0,167400.0,36500.0,2.0,mercado,203900.0,2.0,1.0,tarjeta_credito
col_order_0000090,col_customer_0000090,returned,2024-05-30 00:38:26,2024-05-31 22:17:26,2024-06-01 21:17:26,2024-06-10 02:17:26,2024-06-03 00:38:26,COP,col_unique_000065,barranquilla,atlantico,080,2.0,257900.0,35300.0,2.0,moda,293200.0,1.0,6.0,credito_bnpl
col_order_0000091,col_customer_0000091,returned,2024-08-01 08:38:26,2024-08-03 00:26:26,2024-08-04 14:26:26,2024-08-11 03:26:26,2024-08-13 08:38:26,COP,col_unique_000065,barranquilla,atlantico,080,1.0,116600.0,15400.0,1.0,juguetes,132000.0,1.0,1.0,bono_regalo
col_order_0000092,col_customer_0000092,delivered,2025-04-04 10:06:39,2025-04-06 08:41:39,2025-04-09 11:41:39,2025-04-21 23:41:39,2025-04-09 10:06:39,COP,col_unique_000066,neiva,huila,410,2.0,188300.0,35000.0,2.0,libros,223300.0,1.0,6.0,credito_bnpl
col_order_0000093,col_customer_0000093,delivered,2025-07-09 05:06:39,2025-07-09 15:06:39,2025-07-13 11:06:39,2025-07-20 07:06:39,2025-07-21 05:06:39,COP,col_unique_000066,neiva,huila,410,1.0,100400.0,16000.0,1.0,salud,116400.0,1.0,1.0,transferencia
col_order_0000094,col_customer_0000094,delivered,2025-09-22 00:06:39,2025-09-22 03:34:39,2025-09-26 00:34:39,2025-10-05 21:34:39,2025-09-26 00:06:39,COP,col_unique_000066,neiva,huila,410,1.0,173600.0,25400.0,1.0,moda,199000.0,1.0,1.0,transferencia
col_order_0000095,col_customer_0000095,delivered,2025-05-07 21:47:28,2025-05-08 00:07:28,2025-05-09 08:07:28,2025-05-21 05:07:28,2025-05-14 21:47:28,COP,col_unique_000067,bogota,bogota d.c.,110,1.0,56600.0,17200.0,1.0,libros,73800.0,1.0,1.0,bono_regalo
