order_id,payment_sequential,payment_type,payment_installments,payment_value,currency
col_order_0000098,1,tarjeta_debito,1,159000.00,COP
col_order_0000100,1,tarjeta_debito,1,492500.00,COP
col_order_0000101,1,tarjeta_credito,1,98700.00,COP
col_order_0000102,1,tarjeta_credito,1,179800.00,COP
col_order_0000103,1,contra_entrega,1,130900.00,COP
col_order_0000103,2,tarjeta_debito,1,221500.00,COP
col_order_0000104,1,contra_entrega,1,162200.00,COP
col_order_0000105,1,transferencia,1,136900.00,COP
col_order_0000106,1,tarjeta_credito,6,252500.00,COP
col_order_0000107,1,transferencia,1,283600.00,COP
col_order_0000108,1,tarjeta_credito,6,636100.00,COP
col_order_0000109,1,tarjeta_credito,6,662200.00,COP
col_order_0000110,1,contra_entrega,1,123200.00,COP
col_order_0000111,1,contra_entrega,1,158300.00,COP
col_order_0000113,1,transferencia,1,144600.00,COP
col_order_0000114,1,contra_entrega,1,130900.00,COP
col_order_0000115,1,tarjeta_debito,1,450700.00,COP
col_order_0000116,1,,1,553500.00,COP
col_order_0000117,1,credito_bnpl,3,495100.00,COP
col_order_0000118,1,transferencia,1,532400.00,COP
col_order_0000119,1,tarjeta_debito,1,217800.00,COP
col_order_0000120,1,transferencia,1,135500.00,COP
col_order_0000121,1,tarjeta_credito,1,381900.00,COP
col_order_0000123,1,contra_entrega,1,353000.00,COP
col_order_0000124,1,tarjeta_credito,3,602900.00,COP
col_order_0000125,1,bono_regalo,1,544400.00,COP
col_order_0000126,1,tarjeta_credito,1,92200.00,COP
col_order_0000127,1,credito_bnpl,3,256200.00,COP
col_order_0000128,1,tarjeta_credito,6,916400.00,COP
col_order_0000129,1,credito_bnpl,6,91400.00,COP
col_order_0000130,1,contra_entrega,1,446100.00,COP
col_order_0000131,1,tarjeta_debito,1,678500.00,COP
col_order_0000131,2,transferencia,1,299900.00,COP
col_order_0000132,1,credito_bnpl,12,162000.00,COP
col_order_0000133,1,bono_regalo,1,139000.00,COP
col_order_0000134,1,tarjeta_debito,1,148200.00,COP
col_order_0000135,1,transferencia,1,568400.00,COP
col_order_0000136,1,contra_entrega,1,173300.00,COP
col_order_0000137,1,tarjeta_credito,3,615400.00,COP
col_order_0000138,1,contra_entrega,1,109700.00,COP
col_order_0000139,1,tarjeta_credito,3,321500.00,COP
col_order_0000140,1,tarjeta_credito,1,224700.00,COP
col_order_0000141,1,transferencia,1,401500.00,COP
col_order_0000143,1,tarjeta_credito,6,643500.00,COP
col_order_0000144,1,transferencia,1,667200.00,COP
col_order_0000146,1,tarjeta_credito,1,88900.00,COP
col_order_0000147,1,tarjeta_credito,1,98100.00,COP
col_order_0000148,1,tarjeta_credito,1,124000.00,COP
col_order_0000149,1,tarjeta_credito,3,136100.00,COP
col_order_0000150,1,tarjeta_credito,3,224500.00,COP
col_order_0000151,1,tarjeta_debito,1,127300.00,COP
col_order_0000151,2,tarjeta_credito,1,185600.00,COP
col_order_0000153,1,transferencia,1,1479100.00,COP
col_order_0000154,1,tarjeta_debito,1,363600.00,COP
col_order_0000155,1,transferencia,1,71200.00,COP
col_order_0000156,1,transferencia,1,445100.00,COP
col_order_0000158,1,contra_entrega,1,517600.00,COP
col_order_0000159,1,transferencia,1,197900.00,COP
col_order_0000160,1,tarjeta_debito,1,723400.00,COP
col_order_0000161,1,tarjeta_debito,1,574700.00,COP
col_order_0000162,1,tarjeta_credito,3,690100.00,COP
col_order_0000163,1,tarjeta_credito,3,857300.00,COP
col_order_0000164,1,transferencia,1,168200.00,COP
col_order_0000166,1,tarjeta_debito,1,94600.00,COP
col_order_0000167,1,tarjeta_debito,1,164400.00,COP
col_order_0000168,1,tarjeta_debito,1,580000.00,COP
col_order_0000169,1,contra_entrega,1,195300.00,COP
col_order_0000170,1,contra_entrega,1,534800.00,COP
col_order_0000171,1,tarjeta_credito,6,850900.00,COP
col_order_0000172,1,tarjeta_credito,6,126800.00,COP
col_order_0000173,1,contra_entrega,1,166200.00,COP
col_order_0000174,1,transferencia,1,798700.00,COP
col_order_0000175,1,tarjeta_debito,1,325900.00,COP
col_order_0000176,1,contra_entrega,1,128000.00,COP
col_order_0000177,1,transferencia,1,622900.00,COP
col_order_0000179,1,tarjeta_credito,3,143400.00,COP
col_order_0000180,1,tarjeta_debito,1,112500.00,COP
col_order_0000181,1,contra_entrega,1,293200.00,COP
col_order_0000183,1,credito_bnpl,1,234200.00,COP
col_order_0000184,1,tarjeta_credito,1,128500.00,COP
col_order_0000185,1,contra_entrega,1,121400.00,COP
col_order_0000186,1,transferencia,1,104700.00,COP
col_order_0000187,1,transferencia,1,866300.00,COP
col_order_0000188,1,tarjeta_debito,1,628000.00,COP
col_order_0000189,1,transferencia,1,142200.00,COP
col_order_0000190,1,credito_bnpl,3,849900.00,COP
col_order_0000191,1,tarjeta_debito,1,141100.00,COP
col_order_0000192,1,tarjeta_debito,1,89600.00,COP
col_order_0000193,1,contra_entrega,1,151500.00,COP
col_order_0000194,1,tarjeta_credito,1,95300.00,COP
col_order_0000194,2,transferencia,1,78400.00,COP
col_order_0000195,1,bono_regalo,1,337100.00,COP
col_order_0000196,1,transferencia,1,207800.00,COP
col_order_0000198,1,tarjeta_credito,3,80200.00,COP
col_order_0000199,1,tarjeta_debito,1,824000.00,COP
col_order_0000200,1,tarjeta_credito,3,1718100.00,COP
col_order_0000201,1,transferencia,1,202900.00,COP
col_order_0000202,1,tarjeta_credito,1,118600.00,COP
col_order_0000203,1,contra_entrega,1,969800.00,COP
col_order_0000204,1,tarjeta_debito,1,642100.00,COP
col_order_0000205,1,tarjeta_credito,12,253300.00,COP
col_order_0000206,1,tarjeta_credito,1,316500.00,COP
col_order_0000207,1,transferencia,1,1257100.00,COP
col_order_0000208,1,tarjeta_credito,6,649200.00,COP
col_order_0000209,1,transferencia,1,198300.00,COP
col_order_0000211,1,tarjeta_debito,1,936500.00,COP
col_order_0000212,1,tarjeta_credito,1,579200.00,COP
col_order_0000213,1,contra_entrega,1,129700.00,COP
col_order_0000214,1,transferencia,1,338700.00,COP
col_order_0000215,1,credito_bnpl,1,496900.00,COP
col_order_0000216,1,credito_bnpl,12,179500.00,COP
col_order_0000217,1,transferencia,1,510400.00,COP
col_order_0000218,1,tarjeta_debito,1,242300.00,COP
col_order_0000219,1,tarjeta_debito,1,1069300.00,COP
col_order_0000220,1,contra_entrega,1,765800.00,COP
col_order_0000221,1,tarjeta_credito,3,107700.00,COP
col_order_0000223,1,tarjeta_credito,6,1762300.00,COP
col_order_0000225,1,tarjeta_credito,3,496600.00,COP
col_order_0000226,1,tarjeta_credito,3,145500.00,COP
col_order_0000227,1,contra_entrega,1,115800.00,COP
col_order_0000228,1,tarjeta_credito,3,215400.00,COP
col_order_0000229,1,tarjeta_credito,1,212400.00,COP
col_order_0000230,1,tarjeta_credito,1,98500.00,COP
col_order_0000231,1,tarjeta_credito,1,59200.00,COP
col_order_0000231,2,tarjeta_credito,1,85800.00,COP
col_order_0000232,1,bono_regalo,1,80300.00,COP
col_order_0000234,1,tarjeta_credito,18,1742900.00,COP
col_order_0000235,1,tarjeta_debito,1,280400.00,COP
col_order_0000236,1,transferencia,1,384900.00,COP
col_order_0000237,1,contra_entrega,1,552200.00,COP
col_order_0000238,1,tarjeta_credito,3,417200.00,COP
col_order_0000239,1,tarjeta_debito,1,106400.00,COP
col_order_0000240,1,tarjeta_credito,3,106400.00,COP
col_order_0000241,1,contra_entrega,1,454200.00,COP
col_order_0000243,1,bono_regalo,1,351500.00,COP
col_order_0000244,1,tarjeta_debito,1,130800.00,COP
col_order_0000245,1,transferencia,1,430500.00,COP
col_order_0000246,1,credito_bnpl,1,273600.00,COP
col_order_0000247,1,tarjeta_credito,1,168700.00,COP
col_order_0000248,1,tarjeta_credito,1,173400.00,COP
col_order_0000249,1,tarjeta_credito,1,118800.00,COP
col_order_0000250,1,transferencia,1,154100.00,COP
col_order_0000251,1,bono_regalo,1,1154500.00,COP
col_order_0000252,1,tarjeta_credito,3,161300.00,COP
col_order_0000253,1,contra_entrega,1,176400.00,COP
col_order_0000254,1,tarjeta_debito,1,296300.00,COP
col_order_0000254,2,credito_bnpl,3,170500.00,COP
col_order_0000255,1,credito_bnpl,3,99900.00,COP
col_order_0000256,1,tarjeta_credito,1,142400.00,COP
col_order_0000257,1,bono_regalo,1,390600.00,COP
col_order_0000258,1,tarjeta_debito,1,383400.00,COP
col_order_0000259,1,contra_entrega,1,636400.00,COP
col_order_0000260,1,tarjeta_credito,1,76500.00,COP
col_order_0000261,1,contra_entrega,1,92900.00,COP
col_order_0000262,1,tarjeta_debito,1,464800.00,COP
col_order_0000263,1,credito_bnpl,12,96600.00,COP
col_order_0000264,1,contra_entrega,1,763500.00,COP
col_order_0000265,1,tarjeta_credito,1,136300.00,COP
col_order_0000266,1,transferencia,1,157500.00,COP
col_order_0000267,1,tarjeta_credito,1,157800.00,COP
col_order_0000268,1,tarjeta_credito,1,186800.00,COP
col_order_0000269,1,tarjeta_debito,1,178300.00,COP
col_order_0000270,1,tarjeta_credito,6,81600.00,COP
col_order_0000271,1,tarjeta_debito,1,204800.00,COP
col_order_0000271,2,tarjeta_credito,3,100700.00,COP
col_order_0000272,1,contra_entrega,1,219200.00,COP
col_order_0000273,1,tarjeta_credito,1,91600.00,COP
col_order_0000274,1,tarjeta_credito,3,127900.00,COP
col_order_0000275,1,transferencia,1,1075300.00,COP
col_order_0000276,1,tarjeta_debito,1,66600.00,COP
col_order_0000277,1,tarjeta_credito,1,1063800.00,COP
col_order_0000278,1,credito_bnpl,3,262700.00,COP
col_order_0000279,1,transferencia,1,88100.00,COP
col_order_0000280,1,transferencia,1,144200.00,COP
col_order_0000281,1,tarjeta_credito,3,344400.00,COP
col_order_0000282,1,tarjeta_credito,1,179300.00,COP
col_order_0000283,1,tarjeta_credito,1,128700.00,COP
col_order_0000284,1,tarjeta_credito,6,557300.00,COP
col_order_0000286,1,tarjeta_credito,1,246900.00,COP
col_order_0000287,1,credito_bnpl,6,326100.00,COP
col_order_0000289,1,tarjeta_credito,12,1361200.00,COP
col_order_0000290,1,contra_entrega,1,170500.00,COP
col_order_0000290,2,transferencia,1,76900.00,COP
col_order_0000291,1,tarjeta_credito,1,166000.00,COP
col_order_0000291,2,tarjeta_debito,1,157700.00,COP
col_order_0000292,1,transferencia,1,139700.00,COP
col_order_0000293,1,tarjeta_credito,6,894500.00,COP
col_order_0000294,1,tarjeta_credito,6,617800.00,COP
col_order_0000295,1,tarjeta_credito,1,92500.00,COP
col_order_0000296,1,transferencia,1,929400.00,COP
col_order_0000297,1,transferencia,1,96000.00,COP
col_order_0000298,1,tarjeta_debito,1,360600.00,COP
col_order_0000299,1,tarjeta_debito,1,286200.00,COP
col_order_0000301,1,tarjeta_debito,1,179000.00,COP
col_order_0000302,1,transferencia,1,1029600.00,COP
col_order_0000304,1,transferencia,1,113700.00,COP
col_order_0000305,1,tarjeta_credito,1,790300.00,COP
col_order_0000307,1,tarjeta_credito,1,97500.00,COP
col_order_0000308,1,transferencia,1,499400.00,COP
col_order_0000308,2,tarjeta_credito,6,214300.00,COP
col_order_0000309,1,tarjeta_credito,1,122900.00,COP
col_order_0000310,1,tarjeta_credito,6,848500.00,COP
col_order_0000312,1,tarjeta_debito,1,1217100.00,COP
col_order_0000313,1,tarjeta_credito,3,776500.00,COP
col_order_0000314,1,transferencia,1,825200.00,COP
col_order_0000315,1,tarjeta_credito,3,99500.00,COP
col_order_0000316,1,bono_regalo,1,898500.00,COP
col_order_0000317,1,tarjeta_debito,1,588000.00,COP
col_order_0000318,1,tarjeta_credito,1,103200.00,COP
col_order_0000318,2,tarjeta_debito,1,138300.00,COP
col_order_0000319,1,tarjeta_credito,6,382100.00,COP
col_order_0000320,1,transferencia,1,186900.00,COP
col_order_0000321,1,tarjeta_debito,1,1348300.00,COP
col_order_0000322,1,transferencia,1,61300.00,COP
col_order_0000322,2,bono_regalo,1,116000.00,COP
col_order_0000323,1,tarjeta_credito,1,100900.00,COP
col_order_0000324,1,transferencia,1,147600.00,COP
col_order_0000325,1,contra_entrega,1,182400.00,COP
col_order_0000326,1,credito_bnpl,6,113900.00,COP
col_order_0000327,1,transferencia,1,116900.00,COP
col_order_0000328,1,transferencia,1,211600.00,COP
col_order_0000329,1,tarjeta_credito,1,186400.00,COP
col_order_0000330,1,tarjeta_credito,3,454600.00,COP
col_order_0000332,1,transferencia,1,378800.00,COP
col_order_0000333,1,transferencia,1,610400.00,COP
col_order_0000334,1,transferencia,1,982300.00,COP
col_order_0000335,1,transferencia,1,192100.00,COP
col_order_0000336,1,tarjeta_debito,1,844600.00,COP
col_order_0000337,1,tarjeta_credito,6,317200.00,COP
col_order_0000338,1,tarjeta_credito,1,277900.00,COP
col_order_0000339,1,tarjeta_credito,1,376400.00,COP
col_order_0000339,2,transferencia,1,404700.00,COP
col_order_0000341,1,tarjeta_debito,1,312400.00,COP
col_order_0000342,1,tarjeta_debito,1,103300.00,COP
col_order_0000343,1,tarjeta_credito,1,410800.00,COP
col_order_0000344,1,contra_entrega,1,673100.00,COP
col_order_0000345,1,credito_bnpl,6,426900.00,COP
col_order_0000346,1,tarjeta_credito,1,136600.00,COP
col_order_0000347,1,credito_bnpl,1,91600.00,COP
col_order_0000348,1,credito_bnpl,3,818300.00,COP
col_order_0000349,1,tarjeta_credito,1,339000.00,COP
col_order_0000350,1,transferencia,1,1029200.00,COP
col_order_0000351,1,transferencia,1,256700.00,COP
col_order_0000351,2,tarjeta_credito,12,768800.00,COP
col_order_0000352,1,contra_entrega,1,34100.00,COP
col_order_0000352,2,bono_regalo,1,58600.00,COP
col_order_0000355,1,tarjeta_credito,12,1808100.00,COP
col_order_0000356,1,tarjeta_credito,6,235900.00,COP
col_order_0000357,1,tarjeta_credito,12,983800.00,COP
col_order_0000360,1,credito_bnpl,3,72000.00,COP
col_order_0000360,2,credito_bnpl,3,204700.00,COP
col_order_0000361,1,tarjeta_credito,1,123400.00,COP
col_order_0000362,1,contra_entrega,1,530500.00,COP
col_order_0000363,1,tarjeta_debito,1,395800.00,COP
col_order_0000365,1,tarjeta_credito,3,584200.00,COP
col_order_0000367,1,tarjeta_credito,6,288200.00,COP
col_order_0000368,1,tarjeta_credito,1,74400.00,COP
col_order_0000368,2,tarjeta_credito,3,141900.00,COP
col_order_0000369,1,tarjeta_debito,1,802400.00,COP
col_order_0000370,1,transferencia,1,119100.00,COP
col_order_0000372,1,tarjeta_debito,1,337400.00,COP
col_order_0000373,1,tarjeta_credito,3,256800.00,COP
col_order_0000374,1,transferencia,1,165600.00,COP
col_order_0000375,1,credito_bnpl,6,112200.00,COP
col_order_0000376,1,transferencia,1,49700.00,COP
col_order_0000376,2,tarjeta_credito,6,70700.00,COP
col_order_0000377,1,tarjeta_credito,6,379900.00,COP
col_order_0000378,1,tarjeta_credito,18,870000.00,COP
col_order_0000379,1,tarjeta_credito,3,850800.00,COP
col_order_0000380,1,contra_entrega,1,751600.00,COP
col_order_0000381,1,tarjeta_credito,6,124500.00,COP
col_order_0000382,1,credito_bnpl,12,109500.00,COP
col_order_0000383,1,contra_entrega,1,197400.00,COP
col_order_0000384,1,transferencia,1,95700.00,COP
col_order_0000385,1,tarjeta_credito,6,1018200.00,COP
col_order_0000386,1,tarjeta_credito,6,401000.00,COP
col_order_0000387,1,contra_entrega,1,81500.00,COP
col_order_0000388,1,tarjeta_credito,1,225200.00,COP
col_order_0000390,1,tarjeta_debito,1,691100.00,COP
col_order_0000391,1,tarjeta_debito,1,248200.00,COP
col_order_0000392,1,transferencia,1,148400.00,COP
col_order_0000394,1,transferencia,1,114200.00,COP
col_order_0000395,1,tarjeta_credito,3,82900.00,COP
col_order_0000396,1,transferencia,1,294900.00,COP
col_order_0000397,1,credito_bnpl,6,368900.00,COP
col_order_0000398,1,tarjeta_credito,3,1212100.00,COP
col_order_0000399,1,tarjeta_debito,1,162500.00,COP
col_order_0000400,1,tarjeta_credito,1,115900.00,COP
col_order_0000402,1,transferencia,1,338800.00,COP
col_order_0000402,2,tarjeta_credito,3,301400.00,COP
col_order_0000403,1,tarjeta_credito,1,82800.00,COP
col_order_0000404,1,transferencia,1,298900.00,COP
col_order_0000405,1,contra_entrega,1,867400.00,COP
col_order_0000406,1,transferencia,1,143000.00,COP
col_order_0000407,1,tarjeta_credito,1,90800.00,COP
col_order_0000408,1,credito_bnpl,3,96800.00,COP
col_order_0000409,1,tarjeta_credito,18,848900.00,COP
col_order_0000410,1,contra_entrega,1,79300.00,COP
col_order_0000411,1,credito_bnpl,12,671700.00,COP
col_order_0000412,1,contra_entrega,1,84300.00,COP
col_order_0000413,1,contra_entrega,1,726800.00,COP
col_order_0000415,1,transferencia,1,106700.00,COP
col_order_0000416,1,tarjeta_credito,1,143600.00,COP
col_order_0000417,1,tarjeta_credito,3,459600.00,COP
col_order_0000418,1,transferencia,1,1514700.00,COP
col_order_0000419,1,tarjeta_debito,1,1530500.00,COP
col_order_0000420,1,transferencia,1,1031200.00,COP
col_order_0000421,1,tarjeta_debito,1,200400.00,COP
col_order_0000422,1,tarjeta_credito,3,201600.00,COP
col_order_0000423,1,tarjeta_credito,1,36000.00,COP
col_order_0000423,2,tarjeta_credito,1,42300.00,COP
col_order_0000424,1,tarjeta_credito,3,103100.00,COP
col_order_0000425,1,transferencia,1,221600.00,COP
col_order_0000426,1,tarjeta_debito,1,1068900.00,COP
col_order_0000427,1,tarjeta_debito,,127600.00,COP
col_order_0000428,1,tarjeta_credito,6,1331200.00,COP
col_order_0000429,1,transferencia,1,497900.00,COP
col_order_0000430,1,tarjeta_credito,3,137700.00,COP
col_order_0000432,1,transferencia,1,232100.00,COP
col_order_0000433,1,tarjeta_credito,1,312500.00,COP
col_order_0000434,1,tarjeta_credito,1,187100.00,COP
col_order_0000435,1,tarjeta_credito,3,690700.00,COP
col_order_0000436,1,bono_regalo,1,459200.00,COP
col_order_0000437,1,tarjeta_credito,6,146700.00,COP
col_order_0000438,1,tarjeta_debito,1,159800.00,COP
col_order_0000439,1,tarjeta_credito,1,686900.00,COP
col_order_0000440,1,bono_regalo,1,84000.00,COP
col_order_0000441,1,tarjeta_credito,1,221100.00,COP
col_order_0000442,1,transferencia,1,414700.00,COP
col_order_0000443,1,tarjeta_credito,3,635500.00,COP
col_order_0000444,1,bono_regalo,1,93500.00,COP
col_order_0000445,1,transferencia,1,172100.00,COP
col_order_0000446,1,tarjeta_credito,1,97600.00,COP
col_order_0000448,1,credito_bnpl,3,617600.00,COP
col_order_0000449,1,tarjeta_debito,1,490700.00,COP
col_order_0000451,1,tarjeta_debito,1,731100.00,COP
col_order_0000452,1,tarjeta_debito,1,102000.00,COP
col_order_0000454,1,transferencia,1,683700.00,COP
col_order_0000455,1,tarjeta_credito,3,331700.00,COP
col_order_0000456,1,tarjeta_credito,1,173900.00,COP
col_order_0000457,1,tarjeta_credito,3,607400.00,COP
col_order_0000458,1,transferencia,1,637000.00,COP
col_order_0000459,1,bono_regalo,1,301900.00,COP
col_order_0000460,1,tarjeta_credito,6,644500.00,COP
col_order_0000462,1,credito_bnpl,3,222600.00,COP
col_order_0000462,2,tarjeta_credito,3,350100.00,COP
col_order_0000465,1,credito_bnpl,1,660000.00,COP
col_order_0000466,1,tarjeta_credito,3,1078400.00,COP
col_order_0000467,1,transferencia,1,1325300.00,COP
col_order_0000468,1,credito_bnpl,12,757500.00,COP
col_order_0000469,1,tarjeta_credito,12,403100.00,COP
col_order_0000470,1,contra_entrega,1,630900.00,COP
col_order_0000471,1,tarjeta_debito,1,733000.00,COP
col_order_0000472,1,tarjeta_credito,1,85600.00,COP
col_order_0000473,1,contra_entrega,1,515700.00,COP
col_order_0000474,1,bono_regalo,1,115400.00,COP
col_order_0000474,2,credito_bnpl,3,45800.00,COP
col_order_0000475,1,contra_entrega,1,139100.00,COP
col_order_0000476,1,tarjeta_credito,1,134500.00,COP
col_order_0000477,1,transferencia,1,694000.00,COP
col_order_0000477,2,tarjeta_credito,6,252200.00,COP
col_order_0000478,1,tarjeta_debito,1,257200.00,COP
col_order_0000479,1,tarjeta_credito,6,738600.00,COP
col_order_0000481,1,tarjeta_credito,3,288100.00,COP
col_order_0000482,1,tarjeta_credito,3,330000.00,COP
col_order_0000482,2,transferencia,1,187100.00,COP
col_order_0000483,1,tarjeta_credito,1,167500.00,COP
col_order_0000484,1,tarjeta_debito,1,692100.00,COP
col_order_0000485,1,contra_entrega,1,419800.00,COP
col_order_0000486,1,transferencia,1,48600.00,COP
col_order_0000486,2,tarjeta_credito,1,111300.00,COP
col_order_0000487,1,tarjeta_credito,6,907600.00,COP
col_order_0000488,1,credito_bnpl,3,535900.00,COP
col_order_0000489,1,transferencia,1,808400.00,COP
col_order_0000490,1,tarjeta_credito,1,213500.00,COP
col_order_0000491,1,tarjeta_credito,3,733300.00,COP
col_order_0000492,1,tarjeta_credito,1,241000.00,COP
col_order_0000493,1,tarjeta_credito,3,139400.00,COP
col_order_0000494,1,tarjeta_debito,1,1793300.00,COP
col_order_0000495,1,tarjeta_credito,12,376200.00,COP
col_order_0000496,1,tarjeta_credito,3,162800.00,COP
col_order_0000497,1,tarjeta_credito,1,712500.00,COP
col_order_0000498,1,tarjeta_debito,1,1061400.00,COP
col_order_0000499,1,tarjeta_credito,1,443600.00,COP
col_order_0000500,1,tarjeta_debito,1,781600.00,COP
col_order_0000501,1,contra_entrega,1,317700.00,COP
col_order_0000502,1,transferencia,1,239100.00,COP
col_order_0000503,1,tarjeta_credito,1,235900.00,COP
col_order_0000504,1,tarjeta_credito,3,83400.00,COP
col_order_0000504,2,tarjeta_credito,1,59900.00,COP
col_order_0000505,1,tarjeta_credito,3,408700.00,COP
col_order_0000506,1,tarjeta_credito,3,157700.00,COP
col_order_0000507,1,bono_regalo,1,525200.00,COP
col_order_0000508,1,tarjeta_credito,3,69000.00,COP
col_order_0000509,1,tarjeta_credito,3,204500.00,COP
col_order_0000510,1,tarjeta_credito,3,257200.00,COP
col_order_0000511,1,credito_bnpl,3,892200.00,COP
col_order_0000512,1,tarjeta_credito,18,2036800.00,COP
col_order_0000513,1,,6,61800.00,COP
col_order_0000513,2,tarjeta_credito,1,48100.00,COP
col_order_0000514,1,tarjeta_credito,3,158700.00,COP
col_order_0000515,1,tarjeta_credito,3,112500.00,COP
col_order_0000516,1,tarjeta_credito,3,622300.00,COP
